model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_f4_ep1,4,,dev,0.3287016542823012,0.9622739491691105,0.17510121457489877,0.1429161503510946,0.15738003183989083,2075,1630,94157,346
bert,132,24,2e-05,,4,,test,,0.9657906754680948,0.27191011235955054,0.19484702093397746,0.22701688555347094,2000,1296,92568,484
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_f5_ep3,5,,dev,0.16621766926909096,0.9542180429277204,0.18808675946908385,0.23389694041867956,0.2085052933787906,1903,2508,91356,581
bert,132,24,2e-05,,5,,test,,0.9567979418167425,0.1280201947349441,0.15414676508901434,0.13987391646966116,1948,2418,96339,355
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_f6_ep4,6,,dev,0.09647625992582284,0.943429645754997,0.10577367205542725,0.19887103777681286,0.1380973918287351,1845,3872,94885,458
bert,132,24,2e-05,,6,,test,,0.9499433358967094,0.06870229007633588,0.11647585863613738,0.08642659279778395,1775,3172,93647,234
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_f7_ep2,7,,dev,0.26007290873048683,0.9733678714534343,0.1785345717234262,0.08611249377799901,0.11618535930154465,1836,796,96023,173
bert,132,24,2e-05,,7,,test,,0.9648632094732544,0.166351606805293,0.06432748538011696,0.09277807063784924,2560,882,94342,176
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_f8_ep4,8,,dev,0.10817179782752101,0.9505104124132299,0.10060514372163389,0.09722222222222222,0.09888475836431226,2470,2378,92846,266
bert,132,24,2e-05,,8,,test,,0.9482797049764954,0.09868421052631579,0.15006524575902566,0.11906816220880069,1954,3151,93254,345
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_f9_ep3,9,,dev,0.1793646544771255,0.9230730264224347,0.07471079691516709,0.20226185297955632,0.1091165082717353,1834,5759,90646,465
bert,132,24,2e-05,,9,,test,,0.931554752269066,0.09162011173184358,0.19054996127033308,0.1237424547283702,2090,4878,94344,492
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_f10_ep3,10,,dev,0.16845520133068576,0.9567109347373384,0.16684921504198613,0.17699457784663053,0.17177222326630334,2125,2282,96940,457
bert,132,24,2e-05,,10,,test,,0.9494219058591178,0.09216459977452085,0.16164112703905092,0.11739364566505114,1696,3221,91972,327
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_ffan_ep2,fan,,dev,0.20929118814040917,0.9560404807084124,0.16961414790996784,0.15049928673323823,0.15948601662887377,1191,1033,48157,211
bert,132,24,3e-05,,fan,,test,,0.9585595656339827,0.16603198781416603,0.18181818181818182,0.17356687898089174,981,1095,47802,218
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_f1_ep2,1,,dev,0.2554132639524642,0.9586487820934826,0.17945425361155698,0.27632229362333166,0.21759439470611133,1464,2556,92637,559
bert,132,24,3e-05,,1,,test,,0.9583907440427947,0.2140684410646388,0.21628889742604687,0.21517294095165296,2040,2067,94034,563
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_f2_ep2,2,,dev,0.24763039007950993,0.9528286594261631,0.13168281306063867,0.1409911640414906,0.13617810760667903,2236,2420,93681,367
bert,132,24,3e-05,,2,,test,,0.9495078273244781,0.17553865652724968,0.18098660568441685,0.17822100691651924,2507,2602,95521,554
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_f3_ep2,3,,dev,0.23921991589906297,0.8846556767868438,0.12454212454212454,0.4665142110421431,0.19659943553383355,1633,10038,88085,1428
bert,132,24,3e-05,,3,,test,,0.9116365265558813,0.11674629425456327,0.3936389921520033,0.1800831443688587,1468,7210,88577,953
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_f4_ep1,4,,dev,0.3273915226029149,0.9549018409905506,0.1721097322011757,0.21767864518793886,0.19223053073135146,1894,2535,93252,527
bert,132,24,3e-05,,4,,test,,0.95680242454436,0.22419460880999342,0.2745571658615137,0.24683315237061165,1802,2360,91504,682
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_f5_ep3,5,,dev,0.14429619174611089,0.9587225474322248,0.17669987007362495,0.1642512077294686,0.17024827873982895,2076,1901,91963,408
bert,132,24,3e-05,,5,,test,,0.9599841678210964,0.13254537779653863,0.13634389926183238,0.1344178082191781,1989,2055,96702,314
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_f6_ep4,6,,dev,0.10119833209056449,0.9621610924203443,0.13906027527289985,0.12722535822839776,0.1328798185941043,2010,1814,96943,293
bert,132,24,3e-05,,6,,test,,0.9667907880357793,0.07367716008037509,0.0547536087605774,0.0628212450028555,1899,1383,95436,110
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_f7_ep2,7,,dev,0.24218497788080115,0.9721030477192698,0.18729096989966554,0.11149825783972125,0.13978159126365056,1785,972,95847,224
bert,132,24,3e-05,,7,,test,,0.9609330338913843,0.1707905853952927,0.10343567251461988,0.12884133849305712,2453,1374,93850,283
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_f8_ep4,8,,dev,0.10170671118820986,0.9615557370355247,0.13578500707213578,0.07017543859649122,0.0925301204819277,2544,1222,94002,192
bert,132,24,3e-05,,8,,test,,0.9586440265845356,0.10984682713347921,0.10917790343627665,0.10951134380453753,2048,2034,94371,251
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_f9_ep4,9,,dev,0.08451991654053695,0.8286999513697519,0.0582935236137147,0.41931274467159635,0.1023571883627097,1335,15573,80832,964
bert,132,24,3e-05,,9,,test,,0.8532375938077089,0.07161178509532062,0.40007745933384975,0.12147939083906627,1549,13392,85830,1033
bert,132,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr3e-05_f10_ep2,10,,dev,0.24287818300124622,0.9616812698911634,0.20359550561797754,0.17544539116963595,0.18847514042022054,2129,1772,97450,453
bert,132,24,3e-05,,10,,test,,0.9589368005266623,0.10382293762575452,0.12753336628769155,0.11446317657497782,1765,2227,92966,258
bert,132,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr5e-05_ffan_ep3,fan,,dev,0.10991512336972034,0.9379348513598988,0.09879963065558633,0.15263908701854492,0.11995515695067263,1188,1952,47238,214
bert,132,24,5e-05,,fan,,test,,0.9470416799744491,0.15115163147792707,0.2627189324437031,0.19189765458422178,884,1769,47128,315
bert,132,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr5e-05_f1_ep2,1,,dev,0.2726013701590483,0.9125658327847268,0.08239845261121857,0.3158675234799802,0.13070157496420534,1384,7116,88077,639
bert,132,24,5e-05,,1,,test,,0.9194561517263738,0.09657461898294854,0.24587014982712255,0.13867822318526546,1963,5987,90114,640
bert,132,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr5e-05_f2_ep4,2,,dev,0.09368918245024559,0.9097503647268601,0.0889294562524449,0.2620053784095275,0.13278816199376947,1921,6987,89114,682
bert,132,24,5e-05,,2,,test,,0.8939950980392157,0.09611128675308252,0.29794184906893173,0.1453386454183267,2149,8577,89546,912
bert,132,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr5e-05_f3_ep2,3,,dev,0.2470982290622323,0.933833412397217,0.1489567233384853,0.25187847108787975,0.18720407915503215,2290,4405,93718,771
bert,132,24,5e-05,,3,,test,,0.9550036656891495,0.13751814223512338,0.15654688145394466,0.14641684373189107,2042,2377,93410,379
bert,132,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr5e-05_f4_ep2,4,,dev,0.2522770496808104,0.9226539589442815,0.07699852869053457,0.19454770755885997,0.11033028812368235,1950,5646,90141,471
bert,132,24,5e-05,,4,,test,,0.938597583758874,0.12824956672443674,0.23832528180354268,0.1667605633802817,1892,4024,89840,592
bert,132,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr5e-05_f5_ep4,5,,dev,0.12807971222957507,0.9528583883422593,0.15539182853315472,0.18679549114331723,0.1696526508226691,2020,2522,91342,464
bert,132,24,5e-05,,5,,test,,0.9570849000593706,0.125,0.1471993052540165,0.13519441674975077,1964,2373,96384,339
