model,input,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp,h
cam+,a,34,32,0.001,cam+_avbert_34_h1200_bs32_lr0.001_f8_ep11,8,11,dev,25.72220356464386,0.8,0.3838383838383838,0.2814814814814815,0.3247863247863248,97,61,594,38,1200
cam+,a,34,32,0.001,,8,,test,19.564998080730437,0.8203517587939698,0.32967032967032966,0.26785714285714285,0.29556650246305416,82,61,623,30,1200
cam+,a,34,32,0.001,cam+_avbert_34_h1200_bs32_lr0.001_f9_ep77,9,77,dev,17.11126350402832,0.6984924623115578,0.2647058823529412,0.6428571428571429,0.37499999999999994,40,200,484,72,1200
cam+,a,34,32,0.001,,9,,test,10.39347736652081,0.7917174177831913,0.3681592039800995,0.6271186440677966,0.46394984326018807,44,127,576,74,1200
cam+,a,34,32,0.001,cam+_avbert_34_h1200_bs32_lr0.001_f10_ep31,10,31,dev,7.2971496765430155,0.8647990255785627,0.5333333333333333,0.4745762711864407,0.5022421524663677,62,49,654,56,1200
cam+,a,34,32,0.001,,10,,test,6.997791881561279,0.8533163265306123,0.43103448275862066,0.5050505050505051,0.46511627906976744,49,66,619,50,1200
cam,a,34,32,0.001,cam_avbert_34_h600_bs32_lr0.001_f1_ep5,1,5,dev,12.906334476470947,0.8571428571428571,0.4434782608695652,0.5151515151515151,0.4766355140186916,48,64,621,51,600
cam,a,34,32,0.001,,1,,test,15.60140950202942,0.8228643216080402,0.4632352941176471,0.48091603053435117,0.47191011235955055,68,73,592,63,600
cam,a,34,32,0.001,cam_avbert_34_h600_bs32_lr0.001_f2_ep1,2,1,dev,8.571659865379333,0.8165829145728644,0.44525547445255476,0.46564885496183206,0.45522388059701496,70,76,589,61,600
cam,a,34,32,0.001,,2,,test,9.498230300270594,0.7794117647058824,0.42328042328042326,0.5298013245033113,0.47058823529411764,71,109,556,80,600
cam,a,34,32,0.001,cam_avbert_34_h600_bs32_lr0.001_f3_ep35,3,35,dev,44.1997447013855,0.7855392156862745,0.4268292682926829,0.46357615894039733,0.4444444444444444,81,94,571,70,600
cam,a,34,32,0.001,,3,,test,37.72036153793335,0.8207070707070707,0.42857142857142855,0.43548387096774194,0.432,70,72,596,54,600
cam,a,34,32,0.001,cam_avbert_34_h600_bs32_lr0.001_f4_ep1,4,1,dev,10.371670923233033,0.8345959595959596,0.4690265486725664,0.4274193548387097,0.44725738396624476,71,60,608,53,600
cam,a,34,32,0.001,,4,,test,11.812938213348389,0.8378378378378378,0.5277777777777778,0.4318181818181818,0.47500000000000003,75,51,594,57,600
cam,a,34,32,0.001,cam_avbert_34_h600_bs32_lr0.001_f5_ep7,5,7,dev,16.83952263355255,0.8391248391248392,0.5321100917431193,0.4393939393939394,0.4813278008298756,74,51,594,58,600
cam,a,34,32,0.001,,5,,test,12.85037794136084,0.8515337423312883,0.4148936170212766,0.37142857142857144,0.39195979899497485,66,55,655,39,600
cam,a,34,32,0.001,cam_avbert_34_h600_bs32_lr0.001_f6_ep50,6,50,dev,25.778657027162037,0.8441717791411043,0.40350877192982454,0.4380952380952381,0.4200913242009133,59,68,642,46,600
cam,a,34,32,0.001,,6,,test,31.050775032043457,0.821831869510665,0.3813559322033898,0.39473684210526316,0.3879310344827586,69,73,610,45,600
cam,a,34,32,0.001,cam_avbert_34_h600_bs32_lr0.001_f7_ep2,7,2,dev,6.3208636999130245,0.8117942283563363,0.37142857142857144,0.45614035087719296,0.40944881889763785,62,88,595,52,600
cam,a,34,32,0.001,,7,,test,8.052263116836547,0.7746835443037975,0.34532374100719426,0.35555555555555557,0.35036496350364965,87,91,564,48,600
cam,a,34,32,0.001,cam_avbert_34_h600_bs32_lr0.001_f8_ep25,8,25,dev,24.88258177280426,0.7962025316455696,0.38392857142857145,0.31851851851851853,0.3481781376518219,92,69,586,43,600
cam,a,34,32,0.001,,8,,test,20.515911836624145,0.8178391959798995,0.3146067415730337,0.25,0.27860696517412936,84,61,623,28,600
cam,a,34,32,0.001,cam_avbert_34_h600_bs32_lr0.001_f9_ep8,9,8,dev,11.581909818649292,0.7449748743718593,0.27586206896551724,0.5,0.35555555555555557,56,147,537,56,600
cam,a,34,32,0.001,,9,,test,8.938343566197615,0.8258221680876979,0.4260355029585799,0.6101694915254238,0.5017421602787456,46,97,606,72,600
cam,a,34,32,0.001,cam_avbert_34_h600_bs32_lr0.001_f10_ep31,10,31,dev,26.711087076022103,0.881851400730816,0.6296296296296297,0.4322033898305085,0.5125628140703518,67,30,673,51,600
cam,a,34,32,0.001,,10,,test,25.563365421295167,0.8507653061224489,0.41346153846153844,0.43434343434343436,0.4236453201970443,56,61,624,43,600
