model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_f5_ep4,5,,dev,0.08817486779706087,0.9517478307800888,0.16620413197656492,0.21698872785829307,0.1882311856120133,1945,2704,91160,539
bert,281,16,3e-05,,5,,test,,0.9492578666138928,0.10796558423535942,0.16891011723838473,0.13173044361666103,1914,3214,95543,389
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_f6_ep3,6,,dev,0.1330004258679149,0.9594498317830992,0.13081036610448374,0.13808076422058185,0.13434727503168564,1985,2113,96644,318
bert,281,16,3e-05,,6,,test,,0.9589589994738333,0.0793259350595972,0.09606769537083126,0.08689779378658262,1816,2240,94579,193
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_f7_ep2,7,,dev,0.2308322314824909,0.9647974258307362,0.11275026343519494,0.10652065704330513,0.10954696698233939,1795,1684,95135,214
bert,281,16,3e-05,,7,,test,,0.952919559003675,0.1265923566878981,0.1162280701754386,0.1211890243902439,2418,2194,93030,318
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_f8_ep2,8,,dev,0.2367430492118001,0.9589526337280523,0.13431986340352875,0.08625730994152046,0.10505230358335188,2500,1521,93703,236
bert,281,16,3e-05,,8,,test,,0.951653428432485,0.09578293559986924,0.12744671596346238,0.10936916759985069,2006,2766,93639,293
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_f9_ep4,9,,dev,0.09660340228232663,0.8976941157399903,0.06473936823306173,0.25228360156589824,0.10303783975839405,1719,8379,88026,580
bert,281,16,3e-05,,9,,test,,0.9177930140269538,0.09784572619874914,0.2726568551510457,0.14401145545668403,1878,6491,92731,704
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_f10_ep2,10,,dev,0.24173313455147327,0.9684884680366194,0.20964749536178107,0.08752904725019364,0.12349726775956285,2356,852,98370,226
bert,281,16,3e-05,,10,,test,,0.9677110763660303,0.10869565217391304,0.07661888284725656,0.08988112496375762,1868,1271,93922,155
