,verb,levin_class,stemlem
0,arrange,put,arrang
1,immerse,put,immers
2,install,put,instal
3,lodge,put,lodg
4,mount,put,mount
5,place,put,place
6,position,put,posit
7,put,put,put
8,set,put,set
9,situate,put,situat
10,sling,put,sle
11,stash,put,stash
12,stow,put,stow
13,dangle,dangle,dangl
14,hang,dangle,hang
15,lay,dangle,lie
16,lean,dangle,lean
17,perch,dangle,perch
18,rest,dangle,rest
19,sit,dangle,sit
20,stand,dangle,stand
21,suspend,dangle,suspend
22,bang,funnel,bang
23,channel,funnel,channel
24,dip,funnel,dip
25,dump,funnel,dump
26,funnel,funnel,funnel
27,hammer,funnel,hammer
28,ladle,funnel,ladl
29,pound,funnel,pound
30,push,funnel,push
31,rake,funnel,rake
32,ram,funnel,ram
33,scoop,funnel,scoop
34,scrape,funnel,scrape
35,shake,funnel,shake
36,shovel,funnel,shovel
37,siphon,funnel,siphon
38,spoon,funnel,spoon
39,squash,funnel,squash
40,squeeze,funnel,squeez
41,squish,funnel,squish
42,sweep,funnel,sweep
43,tuck,funnel,tuck
44,wad,funnel,wad
45,wedge,funnel,wedg
46,wipe,funnel,wipe
47,wring,funnel,wre
48,drop,hoist,drop
49,hoist,hoist,hoist
50,lift,hoist,lift
51,lower,hoist,low
52,raise,hoist,rais
53,dribble,pour,dribbl
54,drip,pour,drip
55,pour,pour,pour
56,slop,pour,slop
57,slosh,pour,slosh
58,spew,pour,spew
59,spill,pour,spill
60,spurt,pour,spurt
61,coil,coil,coil
62,curl,coil,curl
63,loop,coil,loop
64,roll,coil,roll
65,spin,coil,spin
66,twirl,coil,twirl
67,twist,coil,twist
68,whirl,coil,whirl
69,wind,coil,wind
70,brush,spray/load,brush
71,cram,spray/load,cram
72,crowd,spray/load,crowd
73,cultivate,spray/load,cultiv
74,dab,spray/load,dab
75,daub,spray/load,daub
76,drape,spray/load,drape
77,drizzle,spray/load,drizzl
78,dust,spray/load,dust
79,hang,spray/load,hang
80,heap,spray/load,heap
81,inject,spray/load,inject
82,jam,spray/load,jam
83,load,spray/load,load
84,mound,spray/load,mound
85,pack,spray/load,pack
86,pile,spray/load,pile
87,plant,spray/load,plant
88,plaster,spray/load,plaster
89,prick,spray/load,prick
90,pump,spray/load,pump
91,rub,spray/load,rub
92,scatter,spray/load,scatter
93,seed,spray/load,seed
94,settle,spray/load,settl
95,sew,spray/load,sew
96,shower,spray/load,shower
97,slather,spray/load,slather
98,smear,spray/load,smear
99,smudge,spray/load,smudg
100,sow,spray/load,sow
101,spatter,spray/load,spatter
102,splash,spray/load,splash
103,splatter,spray/load,splatter
104,spray,spray/load,spray
105,spread,spray/load,spread
106,sprinkle,spray/load,sprinkl
107,spritz,spray/load,spritz
108,squirt,spray/load,squirt
109,stack,spray/load,stack
110,stick,spray/load,stick
111,stock,spray/load,stock
112,strew,spray/load,strew
113,string,spray/load,string
114,stuff,spray/load,stuff
115,swab,spray/load,swab
116,vest,spray/load,vest
117,wash,spray/load,wash
118,wrap,spray/load,wrap
119,adorn,fill,adorn
120,anoint,fill,anoint
121,bandage,fill,bandag
122,bathe,fill,bath
123,bestrew,fill,bestrew
124,bind,fill,bind
125,blanket,fill,blanket
126,block,fill,block
127,blot,fill,blot
128,bombard,fill,bombard
129,carpet,fill,carpet
130,choke,fill,choke
131,cloak,fill,cloak
132,clog,fill,clog
133,clutter,fill,clutter
134,coat,fill,coat
135,contaminate,fill,contamin
136,cover,fill,cover
137,dam,fill,dam
138,dapple,fill,dappl
139,deck,fill,deck
140,decorate,fill,decor
141,deluge,fill,delug
142,dirty,fill,dirti
143,dot,fill,dot
144,douse,fill,dous
145,drench,fill,drench
146,edge,fill,edg
147,embellish,fill,embellish
148,emblazon,fill,emblazon
149,encircle,fill,encircl
150,encrust,fill,encrust
151,endow,fill,endow
152,enrich,fill,enrich
153,entangle,fill,entangl
154,face,fill,face
155,festoon,fill,festoon
156,fill,fill,fill
157,fleck,fill,fleck
158,flood,fill,flood
159,frame,fill,frame
160,garland,fill,garland
161,garnish,fill,garnish
162,imbue,fill,imbu
163,impregnate,fill,impregn
164,infect,fill,infect
165,inlay,fill,inlay
166,interlace,fill,interlac
167,interlard,fill,interlard
168,interleave,fill,interleav
169,intersperse,fill,interspers
170,interweave,fill,interweav
171,inundate,fill,inund
172,lard,fill,lard
173,lash,fill,lash
174,line,fill,line
175,litter,fill,litter
176,mask,fill,mask
177,mottle,fill,mottl
178,ornament,fill,ornament
179,pad,fill,pad
180,pave,fill,pave
181,plate,fill,plate
182,plug,fill,plug
183,pollute,fill,pollut
184,replenish,fill,replenish
185,repopulate,fill,repopul
186,riddle,fill,riddl
187,ring,fill,ring
188,ripple,fill,rippl
189,robe,fill,robe
190,saturate,fill,satur
191,season,fill,season
192,shroud,fill,shroud
193,smother,fill,smother
194,soak,fill,soak
195,soil,fill,soil
196,speckle,fill,speckl
197,splotch,fill,splotch
198,spot,fill,spot
199,staff,fill,staff
200,stain,fill,stain
201,stipple,fill,stippl
202,stop,fill,stop
203,up,fill,up
204,stud,fill,stud
205,suffuse,fill,suffus
206,surround,fill,surround
207,swaddle,fill,swaddl
208,swathe,fill,swath
209,taint,fill,taint
210,tile,fill,tile
211,trim,fill,trim
212,veil,fill,veil
213,vein,fill,vein
214,wreathe,fill,wreath
215,asphalt,butter,asphalt
216,bait,butter,bait
217,blanket,butter,blanket
218,blindfold,butter,blindfold
219,board,butter,board
220,bread,butter,bread
221,brick,butter,brick
222,bridle,butter,bridl
223,bronze,butter,bronz
224,butter,butter,butter
225,buttonhole,butter,buttonhol
226,cap,butter,cap
227,carpet,butter,carpet
228,caulk,butter,caulk
229,chrome,butter,chrome
230,cloak,butter,cloak
231,cork,butter,cork
232,crown,butter,crown
233,diaper,butter,diaper
234,drug,butter,drug
235,feather,butter,feather
236,fence,butter,fenc
237,flour,butter,flour
238,forest,butter,forest
239,frame,butter,frame
240,fuel,butter,fuel
241,gag,butter,gag
242,garland,butter,garland
243,glove,butter,glove
244,graffiti,butter,graffiti
245,gravel,butter,gravel
246,grease,butter,greas
247,groove,butter,groov
248,halter,butter,halter
249,harness,butter,har
250,heel,butter,heel
251,ink,butter,ink
252,label,butter,label
253,leash,butter,leash
254,leaven,butter,leaven
255,lipstick,butter,lipstick
256,mantle,butter,mantl
257,mulch,butter,mulch
258,muzzle,butter,muzzl
259,nickel,butter,nickel
260,oil,butter,oil
261,ornament,butter,ornament
262,panel,butter,panel
263,paper,butter,paper
264,parquet,butter,parquet
265,patch,butter,patch
266,pepper,butter,pepper
267,perfume,butter,perfum
268,pitch,butter,pitch
269,plank,butter,plank
270,plaster,butter,plaster
271,poison,butter,poison
272,polish,butter,polish
273,pomade,butter,pomad
274,poster,butter,poster
275,postmark,butter,postmark
276,powder,butter,powder
277,putty,butter,putti
278,robe,butter,robe
279,roof,butter,roof
280,rosin,butter,rosin
281,rouge,butter,roug
282,rut,butter,rut
283,saddle,butter,saddl
284,salt,butter,salt
285,salve,butter,salv
286,sand,butter,sand
287,seed,butter,seed
288,sequin,butter,sequin
289,shawl,butter,shawl
290,shingle,butter,shingl
291,shoe,butter,shoe
292,shutter,butter,shutter
293,silver,butter,silver
294,slate,butter,slate
295,slipcover,butter,slipcov
296,sod,butter,sod
297,sole,butter,sole
298,spice,butter,spice
299,stain,butter,stain
300,starch,butter,starch
301,stopper,butter,stopper
302,stress,butter,stress
303,string,butter,string
304,stucco,butter,stucco
305,sugar,butter,sugar
306,sulphur,butter,sulphur
307,tag,butter,tag
308,tar,butter,tar
309,tarmac,butter,tarmac
310,tassel,butter,tassel
311,thatch,butter,thatch
312,ticket,butter,ticket
313,tile,butter,tile
314,turf,butter,turf
315,veil,butter,veil
316,veneer,butter,veneer
317,wallpaper,butter,wallpap
318,water,butter,water
319,wax,butter,wax
320,whitewash,butter,whitewash
321,wreathe,butter,wreath
322,yoke,butter,yoke
323,zipcode,butter,zipcod
324,archive,pocket,archiv
325,bag,pocket,bag
326,bank,pocket,bank
327,beach,pocket,beach
328,bed,pocket,bed
329,bench,pocket,bench
330,berth,pocket,berth
331,billet,pocket,billet
332,bin,pocket,bin
333,bottle,pocket,bottl
334,box,pocket,box
335,cage,pocket,cage
336,can,pocket,can
337,case,pocket,case
338,cellar,pocket,cellar
339,cloister,pocket,cloister
340,coop,pocket,coop
341,corral,pocket,corral
342,crate,pocket,crate
343,dock,pocket,dock
344,drydock,pocket,drydock
345,file,pocket,file
346,fork,pocket,fork
347,garage,pocket,garag
348,ground,pocket,ground
349,hangar,pocket,hangar
350,house,pocket,hous
351,jail,pocket,jail
352,jar,pocket,jar
353,jug,pocket,jug
354,kennel,pocket,kennel
355,land,pocket,land
356,lodge,pocket,lodg
357,pasture,pocket,pastur
358,pen,pocket,pen
359,pillory,pocket,pillori
360,pocket,pocket,pocket
361,pot,pocket,pot
362,sheathe,pocket,sheath
363,shelter,pocket,shelter
364,shelve,pocket,shelv
365,shoulder,pocket,shoulder
366,skewer,pocket,skewer
367,snare,pocket,snare
368,spindle,pocket,spindl
369,spit,pocket,spit
370,spool,pocket,spool
371,stable,pocket,stabl
372,string,pocket,string
373,tin,pocket,tin
374,trap,pocket,trap
375,tree,pocket,tree
376,warehouse,pocket,warehous
377,abstract,remove,abstract
378,cull,remove,cull
379,delete,remove,delet
380,discharge,remove,discharg
381,disengage,remove,disengag
382,disgorge,remove,disgorg
383,dislodge,remove,dislodg
384,dismiss,remove,dismiss
385,draw,remove,draw
386,eject,remove,eject
387,eliminate,remove,elimin
388,eradicate,remove,erad
389,evict,remove,evict
390,excise,remove,excis
391,excommunicate,remove,excommun
392,expel,remove,expel
393,extirpate,remove,extirp
394,extract,remove,extract
395,extrude,remove,extrud
396,lop,remove,lop
397,omit,remove,omit
398,ostracize,remove,ostrac
399,oust,remove,oust
400,partition,remove,partit
401,pry,remove,pri
402,reap,remove,reap
403,remove,remove,remov
404,separate,remove,separ
405,sever,remove,sever
406,shoo,remove,shoo
407,subtract,remove,subtract
408,uproot,remove,uproot
409,winkle,remove,winkl
410,withdraw,remove,withdraw
411,wrench,remove,wrench
412,banish,banish,banish
413,deport,banish,deport
414,evacuate,banish,evacu
415,expel,banish,expel
416,extradite,banish,extradit
417,recall,banish,recal
418,remove,banish,remov
419,clean,clear,clean
420,clear,clear,clear
421,drain,clear,drain
422,empty,clear,empti
423,bail,wipe,bail
424,buff,wipe,buff
425,dab,wipe,dab
426,distill,wipe,distil
427,dust,wipe,dust
428,erase,wipe,eras
429,expunge,wipe,expung
430,flush,wipe,flush
431,leach,wipe,leach
432,lick,wipe,lick
433,pluck,wipe,pluck
434,polish,wipe,polish
435,prune,wipe,prune
436,purge,wipe,purg
437,rinse,wipe,rins
438,rub,wipe,rub
439,scour,wipe,scour
440,scrape,wipe,scrape
441,scratch,wipe,scratch
442,scrub,wipe,scrub
443,shave,wipe,shave
444,skim,wipe,skim
445,smooth,wipe,smooth
446,soak,wipe,soak
447,squeeze,wipe,squeez
448,strain,wipe,strain
449,strip,wipe,strip
450,suck,wipe,suck
451,suction,wipe,suction
452,swab,wipe,swab
453,sweep,wipe,sweep
454,trim,wipe,trim
455,wash,wipe,wash
456,wear,wipe,wear
457,weed,wipe,weed
458,whisk,wipe,whisk
459,winnow,wipe,winnow
460,wipe,wipe,wipe
461,wring,wipe,wre
462,brush,wipe,brush
463,comb,wipe,comb
464,file,wipe,file
465,filter,wipe,filter
466,hoover,wipe,hoover
467,hose,wipe,hose
468,iron,wipe,iron
469,mop,wipe,mop
470,plow,wipe,plow
471,rake,wipe,rake
472,sandpaper,wipe,sandpap
473,shear,wipe,shear
474,shovel,wipe,shovel
475,siphon,wipe,siphon
476,sponge,wipe,spong
477,towel,wipe,towel
478,vacuum,wipe,vacuum
479,abduct,steal,abduct
480,cadge,steal,cadg
481,capture,steal,captur
482,confiscate,steal,confisc
483,cop,steal,cop
484,emancipate,steal,emancip
485,embezzle,steal,embezzl
486,exorcise,steal,exorcis
487,extort,steal,extort
488,extract,steal,extract
489,filch,steal,filch
490,flog,steal,flog
491,grab,steal,grab
492,impound,steal,impound
493,kidnap,steal,kidnap
494,liberate,steal,liber
495,lift,steal,lift
496,nab,steal,nab
497,pilfer,steal,pilfer
498,pinch,steal,pinch
499,pirate,steal,pirat
500,plagiarize,steal,plagiar
501,purloin,steal,purloin
502,reclaim,steal,reclaim
503,recover,steal,recov
504,redeem,steal,redeem
505,regain,steal,regain
506,repossess,steal,repossess
507,rescue,steal,rescu
508,retrieve,steal,retriev
509,rustle,steal,rustl
510,seize,steal,seiz
511,smuggle,steal,smuggl
512,snatch,steal,snatch
513,sneak,steal,sneak
514,sponge,steal,spong
515,steal,steal,steal
516,swipe,steal,swipe
517,take,steal,take
518,thieve,steal,thiev
519,wangle,steal,wangl
520,weasel,steal,weasel
521,winkle,steal,winkl
522,withdraw,steal,withdraw
523,wrest,steal,wr
524,absolve,cheat,absolv
525,acquit,cheat,acquit
526,balk,cheat,balk
527,bereave,cheat,bereav
528,bilk,cheat,bilk
529,bleed,cheat,blee
530,break,cheat,break
531,burgle,cheat,burgl
532,cheat,cheat,cheat
533,cleanse,cheat,cleans
534,con,cheat,con
535,cull,cheat,cull
536,cure,cheat,cure
537,defraud,cheat,defraud
538,denude,cheat,denud
539,deplete,cheat,deplet
540,depopulate,cheat,depopul
541,deprive,cheat,depriv
542,despoil,cheat,despoil
543,disabuse,cheat,disabus
544,disarm,cheat,disarm
545,disencumber,cheat,disencumb
546,dispossess,cheat,dispossess
547,divest,cheat,div
548,drain,cheat,drain
549,ease,cheat,eas
550,exonerate,cheat,exoner
551,fleece,cheat,fleec
552,free,cheat,free
553,gull,cheat,gull
554,milk,cheat,milk
555,mulct,cheat,mulct
556,pardon,cheat,pardon
557,plunder,cheat,plunder
558,purge,cheat,purg
559,purify,cheat,purifi
560,ransack,cheat,ransack
561,relieve,cheat,reliev
562,render,cheat,render
563,rid,cheat,rid
564,rifle,cheat,rifl
565,rob,cheat,rob
566,sap,cheat,sap
567,strip,cheat,strip
568,swindle,cheat,swindl
569,unburden,cheat,unburden
570,void,cheat,void
571,wean,cheat,wean
572,bark,pit,bark
573,beard,pit,beard
574,bone,pit,bone
575,burl,pit,burl
576,core,pit,core
577,gill,pit,gill
578,gut,pit,gut
579,head,pit,head
580,hull,pit,hull
581,husk,pit,husk
582,lint,pit,lint
583,louse,pit,lous
584,milk,pit,milk
585,peel,pit,peel
586,pinion,pit,pinion
587,pip,pit,pip
588,pit,pit,pit
589,pith,pit,pith
590,pod,pit,pod
591,poll,pit,poll
592,pulp,pit,pulp
593,rind,pit,rind
594,scale,pit,scale
595,scalp,pit,scalp
596,seed,pit,seed
597,shell,pit,shell
598,shuck,pit,shuck
599,skin,pit,skin
600,snail,pit,snail
601,stalk,pit,stalk
602,stem,pit,stem
603,stone,pit,stone
604,string,pit,string
605,tail,pit,tail
606,tassel,pit,tassel
607,top,pit,top
608,vein,pit,vein
609,weed,pit,weed
610,wind,pit,wind
611,worm,pit,worm
612,zest,pit,z
613,deaccent,debone,deaccent
614,debark,debone,debark
615,debone,debone,debon
616,debowel,debone,debowel
617,debug,debone,debug
618,debur,debone,debur
619,declaw,debone,declaw
620,defang,debone,defang
621,defat,debone,defat
622,defeather,debone,defeath
623,deflea,debone,deflea
624,deflesh,debone,deflesh
625,defoam,debone,defoam
626,defog,debone,defog
627,deforest,debone,defor
628,defrost,debone,defrost
629,defuzz,debone,defuzz
630,degas,debone,dega
631,degerm,debone,degerm
632,deglaze,debone,deglaz
633,degrease,debone,degreas
634,degrit,debone,degrit
635,degum,debone,degum
636,degut,debone,degut
637,dehair,debone,dehair
638,dehead,debone,dehead
639,dehorn,debone,dehorn
640,dehull,debone,dehul
641,dehusk,debone,dehusk
642,deice,debone,deic
643,deink,debone,deink
644,delint,debone,delint
645,delouse,debone,delous
646,deluster,debone,delust
647,demast,debone,demast
648,derat,debone,derat
649,derib,debone,derib
650,derind,debone,derind
651,desalt,debone,desalt
652,descale,debone,descal
653,desex,debone,desex
654,desprout,debone,desprout
655,destarch,debone,destarch
656,destress,debone,destress
657,detassel,debone,detassel
658,detusk,debone,detusk
659,devein,debone,devein
660,dewater,debone,dewat
661,dewax,debone,dewax
662,deworm,debone,deworm
663,mine,mine,-pron-
664,quarry,mine,quarri
665,airmail,send,airmail
666,convey,send,convey
667,deliver,send,deliv
668,dispatch,send,dispatch
669,express,send,express
670,FedEx,send,fedex
671,forward,send,forward
672,hand,send,hand
673,mail,send,mail
674,pass,send,pass
675,port,send,port
676,post,send,post
677,return,send,return
678,send,send,send
679,shift,send,shift
680,ship,send,ship
681,shunt,send,shunt
682,slip,send,slip
683,smuggle,send,smuggl
684,sneak,send,sneak
685,transfer,send,transfer
686,transport,send,transport
687,UPS,send,up
688,bounce,slide,bounc
689,float,slide,float
690,move,slide,move
691,roll,slide,roll
692,slide,slide,slide
693,bring,bring,bring
694,take,bring,take
695,carry,carry,carri
696,drag,carry,drag
697,haul,carry,haul
698,heave,carry,heav
699,heft,carry,heft
700,hoist,carry,hoist
701,kick,carry,kick
702,lug,carry,lug
703,pull,carry,pull
704,push,carry,push
705,schlep,carry,schlep
706,shove,carry,shove
707,tote,carry,tote
708,tow,carry,tow
709,tug,carry,tug
710,barge,drive,barg
711,bus,drive,bus
712,cart,drive,cart
713,drive,drive,drive
714,ferry,drive,ferri
715,fly,drive,fli
716,row,drive,row
717,shuttle,drive,shuttl
718,truck,drive,truck
719,wheel,drive,wheel
720,wire,drive,wire
721,draw,push/pull,draw
722,heave,push/pull,heav
723,jerk,push/pull,jerk
724,press,push/pull,press
725,pull,push/pull,pull
726,push,push/pull,push
727,shove,push/pull,shove
728,thrust,push/pull,thrust
729,tug,push/pull,tug
730,yank,push/pull,yank
731,feed,give,feed
732,give,give,give
733,lease,give,leas
734,lend,give,lend
735,loan,give,loan
736,pass,give,pass
737,pay,give,pay
738,peddle,give,peddl
739,refund,give,refund
740,render,give,render
741,rent,give,rent
742,repay,give,repay
743,sell,give,sell
744,serve,give,serv
745,trade,give,trade
746,administer,contribute,administ
747,contribute,contribute,contribut
748,disburse,contribute,disburs
749,distribute,contribute,distribut
750,donate,contribute,donat
751,extend,contribute,extend
752,forfeit,contribute,forfeit
753,proffer,contribute,proffer
754,refer,contribute,refer
755,reimburse,contribute,reimburs
756,relinquish,contribute,relinquish
757,remit,contribute,remit
758,restore,contribute,restor
759,return,contribute,return
760,sacrifice,contribute,sacrific
761,submit,contribute,submit
762,surrender,contribute,surrend
763,transfer,contribute,transfer
764,advance,FUT:have,advanc
765,allocate,FUT:have,alloc
766,allot,FUT:have,allot
767,assign,FUT:have,assign
768,award,FUT:have,award
769,bequeath,FUT:have,bequeath
770,cede,FUT:have,cede
771,concede,FUT:have,conced
772,extend,FUT:have,extend
773,grant,FUT:have,grant
774,guarantee,FUT:have,guarante
775,issue,FUT:have,issu
776,leave,FUT:have,leav
777,offer,FUT:have,offer
778,owe,FUT:have,owe
779,promise,FUT:have,promis
780,vote,FUT:have,vote
781,will,FUT:have,will
782,yield,FUT:have,yield
783,credit,entrust,credit
784,entrust,entrust,entrust
785,furnish,entrust,furnish
786,issue,entrust,issu
787,leave,entrust,leav
788,present,entrust,present
789,provide,entrust,provid
790,serve,entrust,serv
791,supply,entrust,suppli
792,trust,entrust,trust
793,arm,equip,arm
794,burden,equip,burden
795,charge,equip,charg
796,compensate,equip,compens
797,equip,equip,equip
798,invest,equip,invest
799,ply,equip,pli
800,regale,equip,regal
801,reward,equip,reward
802,saddle,equip,saddl
803,book,get,book
804,buy,get,buy
805,call,get,call
806,cash,get,cash
807,catch,get,catch
808,charter,get,charter
809,choose,get,choos
810,earn,get,earn
811,fetch,get,fetch
812,find,get,find
813,gain,get,gain
814,gather,get,gather
815,get,get,get
816,hire,get,hire
817,keep,get,keep
818,lease,get,leas
819,leave,get,leav
820,order,get,order
821,phone,get,phone
822,pick,get,pick
823,pluck,get,pluck
824,procure,get,procur
825,pull,get,pull
826,reach,get,reach
827,rent,get,rent
828,reserve,get,reserv
829,save,get,save
830,secure,get,secur
831,shoot,get,shoot
832,slaughter,get,slaughter
833,steal,get,steal
834,vote,get,vote
835,win,get,win
836,accept,obtain,accept
837,accumulate,obtain,accumul
838,acquire,obtain,acquir
839,appropriate,obtain,appropri
840,borrow,obtain,borrow
841,cadge,obtain,cadg
842,collect,obtain,collect
843,exact,obtain,exact
844,grab,obtain,grab
845,inherit,obtain,inherit
846,obtain,obtain,obtain
847,purchase,obtain,purchas
848,receive,obtain,receiv
849,recover,obtain,recov
850,regain,obtain,regain
851,retrieve,obtain,retriev
852,seize,obtain,seiz
853,select,obtain,select
854,snatch,obtain,snatch
855,barter,exchange,barter
856,change,exchange,chang
857,exchange,exchange,exchang
858,substitute,exchange,substitut
859,swap,exchange,swap
860,trade,exchange,trade
861,antique,berry,antiqu
862,berry,berry,berri
863,birdnest,berry,birdn
864,blackberry,berry,blackberri
865,clam,berry,clam
866,crab,berry,crab
867,fish,berry,fish
868,fowl,berry,fowl
869,grouse,berry,grous
870,hay,berry,hay
871,log,berry,log
872,mushroom,berry,mushroom
873,nest,berry,nest
874,nut,berry,nut
875,oyster,berry,oyster
876,pearl,berry,pearl
877,prawn,berry,prawn
878,rabbit,berry,rabbit
879,seal,berry,seal
880,shark,berry,shark
881,shrimp,berry,shrimp
882,snail,berry,snail
883,snipe,berry,snipe
884,sponge,berry,spong
885,whale,berry,whale
886,whelk,berry,whelk
887,acquire,learn,acquir
888,cram,learn,cram
889,glean,learn,glean
890,learn,learn,learn
891,memorize,learn,memor
892,read,learn,read
893,study,learn,studi
894,clasp,hold,clasp
895,clutch,hold,clutch
896,grasp,hold,grasp
897,grip,hold,grip
898,handle,hold,handl
899,hold,hold,hold
900,wield,hold,wield
901,hoard,keep,hoard
902,keep,keep,keep
903,leave,keep,leav
904,store,keep,store
905,block,conceal,block
906,cloister,conceal,cloister
907,conceal,conceal,conceal
908,curtain,conceal,curtain
909,hide,conceal,hide
910,isolate,conceal,isol
911,quarantine,conceal,quarantin
912,screen,conceal,screen
913,seclude,conceal,seclud
914,sequester,conceal,sequest
915,shelter,conceal,shelter
916,bash,throw,bash
917,bat,throw,bat
918,bunt,throw,bunt
919,cast,throw,cast
920,catapult,throw,catapult
921,chuck,throw,chuck
922,fire,throw,fire
923,flick,throw,flick
924,fling,throw,fle
925,flip,throw,flip
926,hit,throw,hit
927,hurl,throw,hurl
928,kick,throw,kick
929,knock,throw,knock
930,lob,throw,lob
931,loft,throw,loft
932,nudge,throw,nudg
933,pass,throw,pass
934,pitch,throw,pitch
935,punt,throw,punt
936,shoot,throw,shoot
937,shove,throw,shove
938,slam,throw,slam
939,slap,throw,slap
940,sling,throw,sle
941,smash,throw,smash
942,tap,throw,tap
943,throw,throw,throw
944,tip,throw,tip
945,toss,throw,toss
946,bombard,pelt,bombard
947,buffet,pelt,buffet
948,pelt,pelt,pelt
949,shower,pelt,shower
950,stone,pelt,stone
951,bang,hit,bang
952,bash,hit,bash
953,batter,hit,batter
954,beat,hit,beat
955,bump,hit,bump
956,butt,hit,butt
957,dash,hit,dash
958,drum,hit,drum
959,hammer,hit,hammer
960,hit,hit,hit
961,kick,hit,kick
962,knock,hit,knock
963,lash,hit,lash
964,pound,hit,pound
965,rap,hit,rap
966,slap,hit,slap
967,smack,hit,smack
968,smash,hit,smash
969,strike,hit,strike
970,tamp,hit,tamp
971,tap,hit,tap
972,thump,hit,thump
973,thwack,hit,thwack
974,whack,hit,whack
975,bite,swat,bite
976,claw,swat,claw
977,paw,swat,paw
978,peck,swat,peck
979,punch,swat,punch
980,scratch,swat,scratch
981,shoot,swat,shoot
982,slug,swat,slug
983,stab,swat,stab
984,swat,swat,swat
985,swipe,swat,swipe
986,belt,spank,belt
987,birch,spank,birch
988,bludgeon,spank,bludgeon
989,bonk,spank,bonk
990,brain,spank,brain
991,cane,spank,cane
992,clobber,spank,clobber
993,club,spank,club
994,conk,spank,conk
995,cosh,spank,cosh
996,cudgel,spank,cudgel
997,cuff,spank,cuff
998,flog,spank,flog
999,knife,spank,knife
1000,paddle,spank,paddl
1001,paddywhack,spank,paddywhack
1002,pummel,spank,pummel
1003,sock,spank,sock
1004,spank,spank,spank
1005,strap,spank,strap
1006,thrash,spank,thrash
1007,truncheon,spank,truncheon
1008,wallop,spank,wallop
1009,whip,spank,whip
1010,whisk,spank,whisk
1011,bang,thud,bang
1012,brush,thud,brush
1013,bump,thud,bump
1014,crash,thud,crash
1015,hit,thud,hit
1016,knock,thud,knock
1017,ram,thud,ram
1018,slam,thud,slam
1019,smash,thud,smash
1020,thud,thud,thud
1021,dig,poke,dig
1022,jab,poke,jab
1023,pierce,poke,pierc
1024,poke,poke,poke
1025,prick,poke,prick
1026,stick,poke,stick
1027,caress,touch,caress
1028,graze,touch,graze
1029,kiss,touch,kiss
1030,lick,touch,lick
1031,nudge,touch,nudg
1032,pat,touch,pat
1033,peck,touch,peck
1034,pinch,touch,pinch
1035,prod,touch,prod
1036,sting,touch,ste
1037,stroke,touch,stroke
1038,tickle,touch,tickl
1039,touch,touch,touch
1040,chip,cut,chip
1041,clip,cut,clip
1042,cut,cut,cut
1043,hack,cut,hack
1044,hew,cut,hew
1045,saw,cut,see
1046,scrape,cut,scrape
1047,scratch,cut,scratch
1048,slash,cut,slash
1049,snip,cut,snip
1050,bore,carve,bear
1051,bruise,carve,bruis
1052,carve,carve,carv
1053,chip,carve,chip
1054,chop,carve,chop
1055,crop,carve,crop
1056,crush,carve,crush
1057,cube,carve,cube
1058,dent,carve,dent
1059,dice,carve,dice
1060,drill,carve,drill
1061,file,carve,file
1062,fillet,carve,fillet
1063,gash,carve,gash
1064,gouge,carve,goug
1065,grate,carve,grate
1066,grind,carve,grind
1067,mangle,carve,mangl
1068,mash,carve,mash
1069,mince,carve,minc
1070,mow,carve,mow
1071,nick,carve,nick
1072,notch,carve,notch
1073,perforate,carve,perfor
1074,prune,carve,prune
1075,pulverize,carve,pulver
1076,punch,carve,punch
1077,shred,carve,shre
1078,slice,carve,slice
1079,slit,carve,slit
1080,spear,carve,spear
1081,squash,carve,squash
1082,squish,carve,squish
1083,add,mix,add
1084,blend,mix,blend
1085,combine,mix,combin
1086,commingle,mix,commingl
1087,concatenate,mix,concaten
1088,connect,mix,connect
1089,cream,mix,cream
1090,fuse,mix,fuse
1091,join,mix,join
1092,link,mix,link
1093,merge,mix,merg
1094,mingle,mix,mingl
1095,mix,mix,mix
1096,network,mix,network
1097,pool,mix,pool
1098,affiliate,amalgamate,affili
1099,alternate,amalgamate,altern
1100,amalgamate,amalgamate,amalgam
1101,associate,amalgamate,associ
1102,coalesce,amalgamate,coalesc
1103,coincide,amalgamate,coincid
1104,compare,amalgamate,compar
1105,confederate,amalgamate,confeder
1106,confuse,amalgamate,confus
1107,conjoin,amalgamate,conjoin
1108,consolidate,amalgamate,consolid
1109,contrast,amalgamate,contrast
1110,correlate,amalgamate,correl
1111,criss-cross,amalgamate,criss
1112,engage,amalgamate,engag
1113,entangle,amalgamate,entangl
1114,entwine,amalgamate,entwin
1115,harmonize,amalgamate,harmon
1116,incorporate,amalgamate,incorpor
1117,integrate,amalgamate,integr
1118,interchange,amalgamate,interchang
1119,interconnect,amalgamate,interconnect
1120,interlace,amalgamate,interlac
1121,interlink,amalgamate,interlink
1122,interlock,amalgamate,interlock
1123,intermingle,amalgamate,intermingl
1124,interrelate,amalgamate,interrel
1125,intersperse,amalgamate,interspers
1126,intertwine,amalgamate,intertwin
1127,interweave,amalgamate,interweav
1128,introduce,amalgamate,introduc
1129,marry,amalgamate,marri
1130,mate,amalgamate,mate
1131,muddle,amalgamate,muddl
1132,oppose,amalgamate,oppos
1133,pair,amalgamate,pair
