model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp,h
cam++_base,34,32,0.001,,7,,test,18.205844192504884,0.8088607594936709,0.42452830188679247,0.3333333333333333,0.37344398340248963,90,61,594,45,1200
cam++_base,34,32,0.001,cam++_base_34_h1200_bs32_lr0.001_f8_ep9,8,9,dev,15.371753759384156,0.8025316455696202,0.41025641025641024,0.35555555555555557,0.38095238095238093,87,69,586,48,1200
cam++_base,34,32,0.001,,8,,test,12.891402702331543,0.8153266331658291,0.36,0.4017857142857143,0.379746835443038,67,80,604,45,1200
cam++_base,34,32,0.001,cam++_base_34_h1200_bs32_lr0.001_f9_ep77,9,77,dev,8.422519512176514,0.7600502512562815,0.3073170731707317,0.5625,0.3974763406940063,49,142,542,63,1200
cam++_base,34,32,0.001,,9,,test,7.005447937892034,0.8124238733252132,0.39156626506024095,0.5508474576271186,0.4577464788732394,53,101,602,65,1200
cam++_base,34,32,0.001,cam++_base_34_h1200_bs32_lr0.001_f10_ep25,10,25,dev,8.371411983783428,0.8343483556638246,0.43283582089552236,0.4915254237288136,0.46031746031746035,60,76,627,58,1200
cam++_base,34,32,0.001,,10,,test,8.540516738891602,0.8380102040816326,0.4014084507042254,0.5757575757575758,0.47302904564315357,42,85,600,57,1200
cam++_base,68,32,0.001,cam++_base_68_h1200_bs32_lr0.001_f1_ep142,1,142,dev,7.65694296836853,0.8622448979591837,0.46218487394957986,0.5555555555555556,0.5045871559633028,44,64,621,55,1200
cam++_base,68,32,0.001,,1,,test,8.382727766036988,0.8316582914572864,0.4881889763779528,0.4732824427480916,0.4806201550387597,69,65,600,62,1200
cam++_base,68,32,0.001,cam++_base_68_h1200_bs32_lr0.001_f2_ep1,2,1,dev,9.157473549842834,0.8165829145728644,0.4444444444444444,0.4580152671755725,0.45112781954887216,71,75,590,60,1200
